epoch,train_loss,val_loss,val_accuracy
1,0.613134,0.693076,65.1852
2,0.391732,0.955072,65.1852
3,0.267311,0.430404,77.7778
4,0.223913,0.256478,89.6296
5,0.180718,0.255146,90.3704
6,0.159696,0.241785,90.3704
7,0.143384,0.249060,90.3704
8,0.106612,0.235246,90.3704
9,0.106585,0.302956,89.6296
10,0.064452,0.188015,94.0741
11,0.074439,0.221213,91.8519
12,0.054200,0.225121,92.5926
13,0.058027,0.198348,94.0741
14,0.045890,0.201919,92.5926
15,0.043663,0.198444,94.0741
16,0.035601,0.264903,91.1111
17,0.027761,0.207150,93.3333
18,0.026387,0.251163,90.3704
19,0.028319,0.198662,92.5926
20,0.023715,0.201300,93.3333
21,0.023615,0.194202,93.3333
22,0.021442,0.263062,91.1111
23,0.019464,0.230622,91.8519
24,0.015732,0.213138,91.8519
25,0.022894,0.217520,91.1111
26,0.015070,0.229598,90.3704
27,0.030668,0.219052,91.1111
28,0.026210,0.196660,94.0741
29,0.022097,0.234573,93.3333
30,0.017623,0.221638,92.5926
