epoch,train_loss,val_loss,val_accuracy
1,1.486739,2.278841,13.2353
2,0.841139,0.556560,80.8824
3,0.550544,0.440842,86.3971
4,0.480584,0.422849,85.2941
5,0.418078,0.399071,85.2941
6,0.371508,0.388675,87.1324
7,0.364823,0.363850,88.2353
8,0.309521,0.397107,85.6618
9,0.268701,0.353549,87.5000
10,0.244608,0.369977,88.6029
11,0.195098,0.409447,86.7647
12,0.175735,0.385211,87.8676
13,0.181467,0.448867,88.6029
14,0.151371,0.454813,87.5000
15,0.134459,0.442668,86.7647
16,0.110235,0.462370,85.6618
17,0.093707,0.435896,87.8676
18,0.090680,0.432279,88.2353
19,0.085957,0.495472,86.0294
20,0.085210,0.454191,88.2353
21,0.081867,0.455917,87.5000
22,0.082761,0.423257,88.6029
23,0.081449,0.426308,88.9706
24,0.071876,0.429218,88.2353
25,0.064205,0.452097,88.2353
26,0.060464,0.460133,88.2353
27,0.057814,0.456036,88.2353
28,0.045739,0.468789,88.6029
29,0.060368,0.453212,88.9706
30,0.054259,0.460196,88.2353
